Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
5.45910257582995e+003	(2.25231626911685e-001dB,1.77730916396474e+002°)
5.58626140998860e+003	(2.25410841284990e-001dB,1.77667733452493e+002°)
5.71638215388974e+003	(2.25599384421149e-001dB,1.77602211611170e+002°)
5.84953379927413e+003	(2.25797771500474e-001dB,1.77534216119853e+002°)
5.98578694490663e+003	(2.26006546802604e-001dB,1.77463600593003e+002°)
6.12521383400858e+003	(2.26226284897358e-001dB,1.77390205685782e+002°)
6.26788839256211e+003	(2.26457591699640e-001dB,1.77313857581406e+002°)
6.41388626850669e+003	(2.26701105312776e-001dB,1.77234366261041e+002°)
6.56328487184865e+003	(2.26957496560900e-001dB,1.77151523518858e+002°)
6.71616341570501e+003	(2.27227469076600e-001dB,1.77065100677387e+002°)
6.87260295830331e+003	(2.27511758766100e-001dB,1.76974845948985e+002°)
7.03268644595976e+003	(2.27811132415773e-001dB,1.76880481377803e+002°)
7.19649875705846e+003	(2.28126385123813e-001dB,1.76781699282306e+002°)
7.36412674705508e+003	(2.28458336136985e-001dB,1.76678158100534e+002°)
7.53565929452873e+003	(2.28807822528367e-001dB,1.76569477517758e+002°)
7.71118734830658e+003	(2.29175689960231e-001dB,1.76455232727646e+002°)
7.89080397568614e+003	(2.29562779512986e-001dB,1.76334947641713e+002°)
8.07460441178074e+003	(2.29969909201687e-001dB,1.76208086815121e+002°)
8.26268611001449e+003	(2.30397848304094e-001dB,1.76074045796602e+002°)
8.45514879379335e+003	(2.30847281935315e-001dB,1.75932139531705e+002°)
8.65209450937981e+003	(2.31318762337215e-001dB,1.75781588345412e+002°)
